"ResponseId,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseType,LocationLatitude,LocationLongitude,Q1_Main_Role,Q2_Heard_Of_Catatonia,Q3_Cared_For_Someone,Q4_What_Include_Text,Q5_Include_What_Is,Q5_Include_Signs,Q5_Include_Warning_Signs,Q5_Include_Differences_ID,Q5_Include_Tell_Difference,Q5_Include_What_To_Do,Q5_Include_Treatments,Q5_Include_Urgency,Q5_Include_Where_Help,Q5_Include_Advocate,Q5_Include_Family_Help,Q6_Anything_Else_Text,Q7_Real_Life_Examples,Q8_Checklist_Helpful,Q9_Language_Type,Q10_Format_Print,Q10_Format_PDF,Q10_Format_Webpage,Q10_Format_Checklist,Q10_Format_Video,Q11_Pictures_Help,Q12_Wish_Knew_Earlier,Q13_Biggest_Worry,Q14_Anything_Else,Q15_Review_Group_Interest,Q16_Email,Q1_Other_Role"
"R_4335549,208.2.130.131,100,834,TRUE,2025-09-02T02:27:00.000Z,Survey Preview,40.95,106.95,Parent or caregiver,No,No,How to talk to doctors about this,1,1,1,1,0,1,1,1,1,1,1,,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,1,1,0,Yes,How to get help quickly,It happening again,Contact information for experts,Yes,parent224@yahoo.com,"
"R_1113524,236.28.71.249,100,933,TRUE,2025-09-02T04:27:00.000Z,Survey Preview,48.70,86.68,Medical provider (like a psychiatrist or pediatrician),Yes,No,More examples of what to look for,1,1,0,1,1,1,1,1,1,1,1,Legal rights and protections,Yes,Yes,Easy to understand with simple words,1,1,0,0,0,Yes,How serious this condition is,Getting proper treatment,Research updates,No,,"
"R_7832405,65.64.62.95,100,1146,TRUE,2025-08-31T17:03:00.000Z,Survey Preview,40.74,91.37,Medical provider (like a psychiatrist or pediatrician),Yes,Yes,More examples of what to look for,0,1,1,1,1,1,0,1,1,0,1,,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,0,0,1,Yes,The warning signs to look for,Doctors not taking it seriously,Financial resources,Yes,teacher508@yahoo.com,"
"R_2845671,198.156.44.78,100,722,TRUE,2025-09-01T14:15:00.000Z,Survey Preview,33.25,98.12,Parent or caregiver,Yes,Unsure,Support groups or resources,1,1,1,1,1,1,1,1,1,0,1,Information about insurance coverage,Yes,Yes,Easy to understand with simple words,1,1,1,1,0,Yes,That it can happen in people with ID,Not recognizing it in time,Support group information,Yes,caregiver892@gmail.com,"
"R_5923847,145.89.203.67,100,865,TRUE,2025-09-03T09:45:00.000Z,Survey Preview,42.18,87.45,Behavioral therapist,Yes,Yes,Emergency contact information,1,1,1,0,1,1,1,1,1,1,0,How to document symptoms,Yes,Yes,Medical and detailed (more like what a doctor would use),0,1,1,0,1,Yes,How to get help quickly,Getting proper treatment,How to educate others,No,,"
"R_8174526,172.95.33.112,100,945,TRUE,2025-08-30T20:30:00.000Z,Survey Preview,38.67,92.33,Teacher or school staff,No,No,Information for schools,1,1,1,1,1,1,0,1,1,1,1,Training for staff,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,0,1,0,Yes,The warning signs to look for,Not recognizing it in time,,No,,"
"R_3759182,89.234.156.23,100,678,TRUE,2025-09-04T11:20:00.000Z,Survey Preview,35.89,95.67,Parent or caregiver,No,Unsure,,1,1,1,1,0,1,1,1,1,1,1,,Yes,Yes,Easy to understand with simple words,1,1,1,0,0,Yes,That it's treatable,Long-term effects,Contact information for experts,Yes,parent456@outlook.com,"
"R_6482913,67.123.245.188,100,1023,TRUE,2025-09-02T16:42:00.000Z,Survey Preview,44.56,89.78,Medical provider (like a psychiatrist or pediatrician),Yes,Yes,More examples of what to look for,1,1,1,1,1,1,1,0,1,0,1,Legal rights and protections,Yes,Yes,Medical and detailed (more like what a doctor would use),1,1,1,1,1,No,How serious this condition is,Doctors not taking it seriously,Research updates,Yes,provider789@gmail.com,"
"R_9156374,203.67.89.145,100,756,TRUE,2025-08-31T13:15:00.000Z,Survey Preview,36.23,94.12,Parent or caregiver,Yes,No,How to talk to doctors about this,1,1,1,1,1,1,1,1,1,1,0,Information about insurance coverage,Yes,Yes,Both: a short one-page summary plus more detailed pages after,1,1,0,1,0,Yes,How to get help quickly,It happening again,Support group information,No,,"
"R_4827465,134.78.92.201,100,834,TRUE,2025-09-03T19:55:00.000Z,Survey Preview,41.45,88.23,Behavioral therapist,Yes,Yes,Emergency contact information,1,1,1,1,1,1,0,1,1,1,1,How to document symptoms,Yes,Yes,Easy to understand with simple words,0,1,1,1,0,Yes,The warning signs to look for,Getting proper treatment,How to educate others,Yes,advocate334@yahoo.com,"
